"09/15/2026 01:47:14.005","126.314521"
"09/15/2026 01:47:15.018","120.379418"
"09/15/2026 01:47:16.030","109.603884"
"09/15/2026 01:47:17.043","118.791893"
"09/15/2026 01:47:18.057","104.776734"
"09/15/2026 01:47:19.071","103.259891"
"09/15/2026 01:47:20.083","137.421033"
"09/15/2026 01:47:21.098","135.402120"
"09/15/2026 01:47:22.110","139.034652"
"09/15/2026 01:47:23.124","149.456567"
"09/15/2026 01:47:24.137","141.863205"
"09/15/2026 01:47:25.148","149.870388"
"09/15/2026 01:47:26.159","142.162978"
"09/15/2026 01:47:27.173","112.610311"
"09/15/2026 01:47:28.184","145.124996"
"09/15/2026 01:47:29.199","129.446883"
"09/15/2026 01:47:30.212","137.204991"
"09/15/2026 01:47:31.222","153.204208"
"09/15/2026 01:47:32.234","137.324290"
"09/15/2026 01:47:33.243","130.161679"
"09/15/2026 01:47:34.256","123.370985"
"09/15/2026 01:47:35.269","95.627775"
"09/15/2026 01:47:36.280","108.104983"
"09/15/2026 01:47:37.293","108.038083"
"09/15/2026 01:47:38.303","102.124102"
